TOWN,2012,2013,2014,2015,2016,2017,2012_rate,2013_rate,2014_rate,2015_rate,2016_rate,2017_rate,population
EASTFORD,,1.0,1.0,,,,,5.76701268743,5.76701268743,,,,1734.0
EASTON,,,,,3.0,2.0,,,,,3.95204847846,2.63469898564,7591.0
ELLINGTON,,,2.0,,3.0,2.0,,,1.25944584383,,1.88916876574,1.25944584383,15880.0
ENFIELD,5.0,7.0,12.0,13.0,15.0,14.0,1.12321689318,1.57250365045,2.69572054364,2.92036392227,3.36965067955,3.14500730091,44515.0
ESSEX,,1.0,2.0,3.0,1.0,,,1.51653017895,3.0330603579,4.54959053685,1.51653017895,,6594.0
FAIRFIELD,2.0,,6.0,5.0,8.0,7.0,0.32725725693,,0.981771770789,0.818143142324,1.30902902772,1.14540039925,61114.0
FARMINGTON,2.0,3.0,2.0,1.0,5.0,4.0,0.782197191912,1.17329578787,0.782197191912,0.391098595956,1.95549297978,1.56439438382,25569.0
FRANKLIN,,1.0,1.0,1.0,1.0,,,5.08905852417,5.08905852417,5.08905852417,5.08905852417,,1965.0
GLASTONBURY,4.0,6.0,4.0,4.0,2.0,4.0,1.15350232142,1.73025348214,1.15350232142,1.15350232142,0.576751160712,1.15350232142,34677.0
GOSHEN,1.0,,,,,,3.42583076396,,,,,,2919.0
GRANBY,,2.0,,,2.0,,,1.77116542685,,,1.77116542685,,11292.0
GREENWICH,,2.0,3.0,5.0,3.0,3.0,,0.320420391554,0.480630587331,0.801050978884,0.480630587331,0.480630587331,62418.0
GRISWOLD,2.0,2.0,2.0,4.0,8.0,8.0,1.6880486158,1.6880486158,1.6880486158,3.3760972316,6.7521944632,6.7521944632,11848.0
GROTON,4.0,4.0,6.0,9.0,7.0,8.0,1.00596031487,1.00596031487,1.5089404723,2.26341070845,1.76043055101,2.01192062973,39763.0
GUILFORD,,1.0,3.0,1.0,3.0,4.0,,0.446787597176,1.34036279153,0.446787597176,1.34036279153,1.78715038871,22382.0
HADDAM,1.0,,,1.0,2.0,1.0,1.20438395761,,,1.20438395761,2.40876791521,1.20438395761,8303.0
HAMDEN,6.0,5.0,9.0,9.0,12.0,11.0,0.97599063049,0.813325525408,1.46398594573,1.46398594573,1.95198126098,1.7893161559,61476.0
HAMPTON,,,,,,1.0,,,,,,5.63697857948,1774.0
HARTFORD,16.0,26.0,29.0,43.0,62.0,58.0,1.287001287,2.09137709138,2.33268983269,3.45881595882,4.98712998713,4.66537966538,124320.0
HARTLAND,,1.0,,,,,,4.79156684236,,,,,2087.0
HARWINTON,,1.0,1.0,3.0,1.0,,,1.80472838838,1.80472838838,5.41418516513,1.80472838838,,5541.0
HEBRON,1.0,2.0,1.0,3.0,3.0,,1.04384133612,2.08768267223,1.04384133612,3.13152400835,3.13152400835,,9580.0
KENT,,,,,,1.0,,,,,,3.47101700798,2881.0
KILLINGLY,4.0,2.0,3.0,4.0,5.0,9.0,2.32706963756,1.16353481878,1.74530222817,2.32706963756,2.90883704695,5.23590668451,17189.0
KILLINGWORTH,,1.0,,1.0,,,,1.54702970297,,1.54702970297,,,6464.0
LEBANON,3.0,,,2.0,4.0,3.0,4.13280066125,,,2.75520044083,5.51040088166,4.13280066125,7259.0
LEDYARD,1.0,3.0,2.0,2.0,2.0,2.0,0.66631130064,1.99893390192,1.33262260128,1.33262260128,1.33262260128,1.33262260128,15008.0
LISBON,,2.0,2.0,1.0,1.0,1.0,,4.62641684016,4.62641684016,2.31320842008,2.31320842008,2.31320842008,4323.0
LITCHFIELD,,,1.0,,1.0,,,,1.20816721034,,1.20816721034,,8277.0
MADISON,,1.0,2.0,1.0,4.0,7.0,,0.548035293473,1.09607058695,0.548035293473,2.19214117389,3.83624705431,18247.0
MANCHESTER,10.0,10.0,6.0,13.0,18.0,19.0,1.72197062318,1.72197062318,1.03318237391,2.23856181014,3.09954712173,3.27174418404,58073.0
MANSFIELD,1.0,,3.0,1.0,2.0,3.0,0.38448229459,,1.15344688377,0.38448229459,0.768964589181,1.15344688377,26009.0
MARLBOROUGH,,1.0,1.0,1.0,2.0,1.0,,1.55617802677,1.55617802677,1.55617802677,3.11235605353,1.55617802677,6426.0
MERIDEN,8.0,9.0,13.0,16.0,24.0,36.0,1.32883743335,1.49494211252,2.15936082919,2.6576748667,3.98651230005,5.97976845008,60203.0
MIDDLEBURY,,2.0,,2.0,1.0,2.0,,2.62950302393,,2.62950302393,1.31475151196,2.62950302393,7606.0
MIDDLEFIELD,,,,,1.0,1.0,,,,,2.27117874177,2.27117874177,4403.0
MIDDLETOWN,9.0,10.0,9.0,13.0,12.0,18.0,1.91762725588,2.13069695097,1.91762725588,2.76990603626,2.55683634117,3.83525451175,46933.0
MILFORD,4.0,11.0,9.0,9.0,13.0,10.0,0.74864308441,2.05876848213,1.68444693992,1.68444693992,2.43309002433,1.87160771102,53430.0
MONROE,2.0,2.0,,1.0,5.0,1.0,1.01091791347,1.01091791347,,0.505458956733,2.52729478366,0.505458956733,19784.0
MONTVILLE,3.0,3.0,9.0,3.0,8.0,1.0,1.53806716227,1.53806716227,4.6142014868,1.53806716227,4.10151243271,0.512689054089,19505.0
MORRIS,,1.0,1.0,,,,,4.24989375266,4.24989375266,,,,2353.0
NAUGATUCK,2.0,6.0,5.0,8.0,8.0,14.0,0.632411067194,1.89723320158,1.58102766798,2.52964426877,2.52964426877,4.42687747036,31625.0
NEW BRITAIN,12.0,18.0,15.0,34.0,35.0,36.0,1.64663263626,2.46994895439,2.05829079532,4.66545913607,4.80267852242,4.93989790878,72876.0
NEW CANAAN,,,,1.0,,1.0,,,,0.493875938364,,0.493875938364,20248.0
NEW FAIRFIELD,1.0,2.0,3.0,3.0,2.0,1.0,0.710479573712,1.42095914742,2.13143872114,2.13143872114,1.42095914742,0.710479573712,14075.0
NEW HARTFORD,,,,1.0,,2.0,,,,1.46541617819,,2.93083235639,6824.0
NEW HAVEN,20.0,28.0,25.0,27.0,47.0,41.0,1.5336835244,2.14715693417,1.91710440551,2.07047275795,3.60415628235,3.14405122503,130405.0
NEW LONDON,9.0,8.0,10.0,13.0,11.0,14.0,3.30663531487,2.93923139099,3.67403923874,4.77625101036,4.04144316261,5.14365493423,27218.0
NEW MILFORD,3.0,8.0,6.0,10.0,3.0,6.0,1.09086942293,2.90898512781,2.18173884586,3.63623140977,1.09086942293,2.18173884586,27501.0
NEWINGTON,2.0,3.0,3.0,2.0,3.0,19.0,0.653808434129,0.980712651193,0.980712651193,0.653808434129,0.980712651193,6.21118012422,30590.0
NEWTOWN,,4.0,3.0,3.0,5.0,1.0,,1.42908181493,1.0718113612,1.0718113612,1.78635226867,0.357270453733,27990.0
NORTH BRANFORD,1.0,2.0,2.0,1.0,3.0,2.0,0.698812019567,1.39762403913,1.39762403913,0.698812019567,2.0964360587,1.39762403913,14310.0
NORTH CANAAN,1.0,1.0,2.0,2.0,2.0,1.0,3.0959752322,3.0959752322,6.1919504644,6.1919504644,6.1919504644,3.0959752322,3230.0
NORTH HAVEN,2.0,5.0,2.0,3.0,4.0,7.0,0.837240455459,2.09310113865,0.837240455459,1.25586068319,1.67448091092,2.93034159411,23888.0
NORTH STONINGTON,1.0,,,,1.0,1.0,1.89537528431,,,,1.89537528431,1.89537528431,5276.0
NORWALK,3.0,4.0,6.0,12.0,10.0,14.0,0.341180484476,0.454907312635,0.682360968953,1.36472193791,1.13726828159,1.59217559422,87930.0
NORWICH,10.0,11.0,5.0,13.0,24.0,34.0,2.49644256934,2.74608682627,1.24822128467,3.24537534014,5.99146216641,8.48790473575,40057.0
OLD LYME,,3.0,1.0,1.0,1.0,,,3.97930760048,1.32643586683,1.32643586683,1.32643586683,,7539.0
